BibNum,Publisher
3011076,Simon Spotlight
2248846,Viz
3209270,Andrews McMeel Publishing
1907265,Carroll & Graf
1644616,Red Alder Books/Down There Press
1736505,Yale University Press
1749492,Amana Books
3270562,HQN
3264577,HarperTeen
3236819,BBC Worldwide
3018388,Viking
3122831,Universal Studios Home Entertainment
2519097,U.S. Dept. of Health and Human Services
3274605,Simon & Schuster
3265336,Templar Books an imprint of Candelwick Press
3154492,Topix Media Lab
3167678,ECW Press
3137398,University of California Press
3165211,Timber Press
2483968,Image Comics
3199800,Carolrhoda Labs
2268788,Books for Pleasure
797564,[Broadcasting Publications]
2059264,Wheeler Pub.
2940843,Twenty-First Century Books
3028235,Scholastic Inc.
2985327,distributed by MPI Home Video
2352640,John Wiley & Sons
2552455,HarperCollins
2242143,Holiday House
3056809,Universal Studios Home Entertainment
2765249,Center Point Publishing
1932479,[The Council?]
476602,Warner Bros. Publications
2963138,Simon & Schuster
2709870,Grove Press
2328787,Marshall Cavendish Benchmark
2845634,Adams Media
11879,New York Graphic Society
3174946,Harper an imprint of HarperCollinsPublishers
